,year,doy,hourmin,temperature,humidity,wind,pressure
176,2012,282,2000,297.08,50.0,4.0,1014.0
177,2012,282,2100,297.36,53.0,4.0,1013.0
178,2012,282,2200,296.81,64.0,3.0,1013.0
179,2012,282,2300,296.41,64.0,1.0,1013.0
180,2012,283,0,295.44,69.0,3.0,1012.0
181,2012,283,100,294.46,73.0,3.0,1013.0
182,2012,283,200,292.9,77.0,3.0,1013.0
183,2012,283,300,292.65,73.0,2.0,1013.0
184,2012,283,400,292.24,77.0,2.0,1014.0
185,2012,283,500,291.89,77.0,2.0,1014.0
186,2012,283,600,291.8,73.0,0.0,1014.0
187,2012,283,700,291.47,82.0,0.0,1014.0
188,2012,283,800,291.69,77.0,0.0,1014.0
189,2012,283,900,291.91,73.0,0.0,1014.0
190,2012,283,1000,291.74,73.0,0.0,1014.0
191,2012,283,1100,291.87,73.0,0.0,1014.0
192,2012,283,1200,292.0,73.0,1.0,1015.0
193,2012,283,1300,292.09,68.0,1.0,1015.0
194,2012,283,1400,292.09,68.0,1.0,1015.0
195,2012,283,1500,292.51,64.0,2.0,1016.0
196,2012,283,1600,292.78,64.0,0.0,1016.0
197,2012,283,1700,293.22,68.0,1.0,1017.0
198,2012,283,1800,295.31,60.0,0.0,1016.0
199,2012,283,1900,295.87,56.0,0.0,1016.0
200,2012,283,2000,296.71,56.0,5.0,1015.0
201,2012,283,2100,296.65,53.0,6.0,1015.0
202,2012,283,2200,295.63,64.0,5.0,1014.0
203,2012,283,2300,295.53,64.0,4.0,1015.0
204,2012,284,0,295.02,64.0,3.0,1015.0
205,2012,284,100,293.93,68.0,2.0,1014.0
206,2012,284,200,292.38,73.0,3.0,1015.0
207,2012,284,300,291.47,77.0,3.0,1015.0
208,2012,284,400,290.79,72.0,2.0,1016.0
209,2012,284,500,290.76,72.0,1.0,1016.0
210,2012,284,600,290.74,77.0,0.0,1016.0
211,2012,284,700,290.9,72.0,0.0,1016.0
212,2012,284,800,291.08,72.0,0.0,1016.0
213,2012,284,900,290.7,70.0,0.0,1016.0
214,2012,284,1000,290.32,69.0,0.0,1016.0
215,2012,284,1100,289.94,68.0,0.0,1016.0
216,2012,284,1200,291.32,60.0,1.0,1015.0
217,2012,284,1300,291.09,64.0,1.0,1015.0
218,2012,284,1400,291.29,64.0,1.0,1016.0
219,2012,284,1500,291.58,68.0,1.0,1017.0
220,2012,284,1600,292.56,60.0,1.0,1017.0
221,2012,284,1700,294.68,56.0,1.0,1016.0
222,2012,284,1800,295.27,56.0,3.0,1016.0
223,2012,284,1900,296.57,53.0,4.0,1016.0
224,2012,284,2000,296.65,56.0,5.0,1015.0
225,2012,284,2100,296.14,56.0,6.0,1015.0
226,2012,284,2200,295.82,57.0,5.0,1012.0
227,2012,284,2300,295.5,58.0,4.0,1009.0
228,2012,285,0,295.5,58.0,4.0,1009.0
229,2012,285,100,295.5,58.0,4.0,1009.0
230,2012,285,200,295.5,58.0,4.0,1009.0
231,2012,285,300,295.5,58.0,4.0,1009.0
232,2012,285,400,295.5,58.0,4.0,1009.0
233,2012,285,500,292.345,71.0,3.0,1010.0
234,2012,285,600,289.19,84.0,1.0,1011.0
235,2012,285,700,290.12,72.0,0.0,1016.0
236,2012,285,800,290.56,64.0,1.0,1016.0
237,2012,285,900,290.43,64.0,0.0,1016.0
238,2012,285,1000,290.35,72.0,0.0,1016.0
239,2012,285,1100,289.97,68.0,0.0,1015.0
240,2012,285,1200,289.94,87.0,0.0,1015.0
241,2012,285,1300,289.81,68.0,1.0,1015.0
242,2012,285,1400,290.03,68.0,2.0,1016.0
243,2012,285,1500,291.74,72.0,2.0,1016.0
244,2012,285,1600,292.48,67.0,3.0,1014.0
245,2012,285,1700,293.22,62.0,3.0,1012.0
246,2012,285,1800,293.96,58.0,3.0,1011.0
247,2012,285,1900,294.7,53.0,4.0,1009.0
248,2012,285,2000,294.7,53.0,4.0,1009.0
249,2012,285,2100,295.32,53.0,5.0,1014.0
250,2012,285,2200,295.2,56.0,5.0,1014.0
251,2012,285,2300,294.17,56.0,5.0,1014.0
252,2012,286,0,293.5,60.0,4.0,1014.0
