year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2012,290,1100,291.52,63.0,1013.0,0.0,F
2012,290,1200,290.57,63.0,1013.0,1.0,F
2012,290,1300,290.05,52.0,1013.0,0.0,F
2012,290,1400,290.1,55.0,1013.0,0.0,F
2012,290,1500,293.6,52.0,1014.0,0.0,F
2012,290,1600,296.69,56.0,1014.0,1.0,F
2012,290,1700,298.63,46.0,1014.0,1.0,F
2012,290,1800,300.04,64.0,1014.0,4.0,T
2012,290,1900,300.98,39.0,1014.0,2.0,F
2012,290,2000,300.4,69.0,1013.0,2.0,F
2012,290,2100,301.18,61.0,1012.0,1.0,F
2012,290,2200,301.39,73.0,1012.0,5.0,F
2012,290,2300,300.89,34.0,1011.0,2.0,F
2012,291,0,299.22,44.0,1011.0,3.0,F
2012,291,100,295.86,88.0,1012.0,1.0,F
2012,291,200,293.95,94.0,1012.0,2.0,F
2012,291,300,293.18,83.0,1012.0,2.0,F
2012,291,400,292.38,93.0,1012.0,1.0,F
2012,291,500,291.68,93.0,1013.0,2.0,F
2012,291,600,291.73,93.0,1013.0,0.0,F
2012,291,700,291.08,93.0,1012.0,0.0,F
2012,291,800,290.58,93.0,1012.0,0.0,F
2012,291,900,289.93,100.0,1012.0,0.0,F
2012,291,1000,289.81,93.0,1011.0,0.0,F
2012,291,1100,289.34,100.0,1011.0,0.0,T
2012,291,1200,288.75,93.0,1011.0,0.0,F
2012,291,1300,288.75,93.0,1011.0,0.0,F
2012,291,1400,288.65,88.0,1011.0,0.0,F
2012,291,1500,290.72,77.0,1011.0,2.0,F
2012,291,1600,293.15,88.0,1012.0,2.0,F
2012,291,1700,293.95,"","",0.0,F
2012,291,1800,296.16,28.0,1011.0,4.0,F
2012,291,1900,297.39,"","",1.0,T
2012,291,2000,300.29,27.0,1009.0,4.0,F
2012,291,2100,300.57,34.0,1008.0,4.0,F
2012,291,2200,301.32,25.0,1008.0,5.0,F
2012,291,2300,301.44,32.0,1007.0,3.0,F
2012,292,0,299.42,39.0,1007.0,2.0,F
2012,292,100,297.92,47.0,1007.0,2.0,F
2012,292,200,295.9,44.0,1008.0,2.0,F
2012,292,300,294.52,49.0,1008.0,2.0,F
2012,292,400,293.67,68.0,1008.0,2.0,F
2012,292,500,292.64,77.0,1008.0,0.0,F
2012,292,600,291.79,73.0,1008.0,0.0,F
2012,292,700,291.03,93.0,1008.0,2.0,F
2012,292,800,291.12,88.0,1008.0,0.0,F
2012,292,900,290.86,88.0,1008.0,1.0,T
2012,292,1000,290.69,82.0,1008.0,0.0,F
2012,292,1100,289.65,77.0,1007.0,0.0,F
2012,292,1200,290.01,72.0,1007.0,0.0,F
2012,292,1300,290.19,62.0,1008.0,0.0,F
2012,292,1400,290.73,63.0,1007.0,0.0,F
2012,292,1500,294.03,46.0,1008.0,0.0,F
2012,292,1600,296.46,43.0,1008.0,2.0,F
2012,292,1700,301.72,36.0,1008.0,2.0,F
2012,292,1800,303.79,27.0,1008.0,3.0,F
2012,292,1900,306.2,27.0,1008.0,2.0,F
2012,292,2000,305.66,22.0,1007.0,4.0,F
2012,292,2100,305.45,22.0,1006.0,2.0,F
2012,292,2200,305.04,23.0,1006.0,3.0,F
2012,292,2300,304.94,17.0,1007.0,3.0,F
2012,293,0,304.66,14.0,1007.0,4.0,F
2012,293,100,302.12,18.0,1007.0,2.0,F
2012,293,200,300.62,23.0,1008.0,2.0,F
2012,293,300,298.61,32.0,1008.0,0.0,F
2012,293,400,298.12,39.0,1009.0,0.0,F
2012,293,500,297.97,36.0,1009.0,1.0,F
2012,293,600,297.75,22.0,1010.0,0.0,F
2012,293,700,298.33,69.0,1012.0,8.0,F
2012,293,800,295.25,73.0,1012.0,8.0,F
2012,293,900,295.06,73.0,1013.0,6.0,F
2012,293,1000,294.46,83.0,1013.0,6.0,F
2012,293,1100,293.91,83.0,1014.0,4.0,F
2012,293,1200,293.68,88.0,1014.0,3.0,F
2012,293,1300,293.54,78.0,1015.0,4.0,F
2012,293,1400,293.72,73.0,1016.0,5.0,F
2012,293,1500,294.15,78.0,1016.0,3.0,F
2012,293,1600,295.29,69.0,1018.0,5.0,F
2012,293,1700,295.83,69.0,1018.0,8.0,F
2012,293,1800,296.12,69.0,1018.0,7.0,F
2012,293,1900,296.68,73.0,1018.0,5.0,F
2012,293,2000,296.58,73.0,1018.0,4.0,F
2012,293,2100,296.29,69.0,1017.0,4.0,F
2012,293,2200,296.15,69.0,1017.0,3.0,F
2012,293,2300,295.89,69.0,1017.0,3.0,F
2012,294,0,295.08,69.0,1017.0,2.0,F
2012,294,100,294.71,69.0,1016.0,1.0,F
2012,294,200,294.26,64.0,1017.0,2.0,F
2012,294,300,293.79,68.0,1017.0,2.0,F
2012,294,400,293.39,68.0,1017.0,2.0,F
2012,294,500,292.56,68.0,1017.0,1.0,F
2012,294,600,291.81,73.0,1017.0,0.0,F
2012,294,700,291.26,77.0,1017.0,1.0,F
2012,294,800,290.96,73.0,1017.0,0.0,F
2012,294,900,290.63,77.0,1016.0,1.0,F
2012,294,1000,290.76,77.0,1016.0,1.0,F
2012,294,1100,289.84,82.0,1015.0,0.0,F
2012,294,1200,289.47,82.0,1015.0,0.0,F
2012,294,1300,289.18,82.0,1015.0,0.0,F
2012,294,1400,289.04,82.0,1015.0,0.0,F
2012,294,1500,291.3,82.0,1016.0,0.0,F
2012,294,1600,293.1,77.0,1016.0,2.0,F
2012,294,1700,294.66,73.0,1016.0,2.0,F
2012,294,1800,296.08,69.0,1016.0,4.0,F
2012,294,1900,296.54,69.0,1016.0,5.0,F
2012,294,2000,296.4,69.0,1015.0,5.0,F
2012,294,2100,296.47,73.0,1014.0,5.0,F
2012,294,2200,295.82,73.0,1014.0,5.0,F
2012,294,2300,295.1,73.0,1013.0,4.0,F
2012,295,0,294.28,77.0,1013.0,4.0,F
2012,295,100,293.23,77.0,1013.0,3.0,F
2012,295,200,292.72,77.0,1013.0,3.0,F
2012,295,300,292.64,77.0,1014.0,3.0,F
2012,295,400,292.55,77.0,1014.0,2.0,F
2012,295,500,292.55,77.0,1014.0,2.0,F
2012,295,600,292.43125,78.0,1013.0,2.0,F
2012,295,700,292.3125,79.0,1013.0,2.0,F
2012,295,800,292.19375,81.0,1013.0,2.0,F
2012,295,900,292.075,82.0,1013.0,2.0,F
2012,295,1000,291.95625,83.0,1012.0,2.0,F
2012,295,1100,291.8375,85.0,1012.0,2.0,F
2012,295,1200,291.71875,86.0,1012.0,2.0,F
2012,295,1300,291.6,88.0,1012.0,2.0,F
2012,295,1400,291.751111111,86.0,1012.0,2.0,F
2012,295,1500,291.90222222200003,85.0,1012.0,2.0,T
2012,295,1600,292.053333333,84.0,1012.0,2.0,F
2012,295,1700,292.204444444,83.0,1012.0,2.0,F
2012,295,1800,292.355555556,81.0,1012.0,2.0,F
2012,295,1900,292.506666667,80.0,1012.0,2.0,F
2012,295,2000,292.65777777799997,79.0,1012.0,2.0,F
2012,295,2100,292.808888889,78.0,1012.0,3.0,F
2012,295,2200,292.96,77.0,1012.0,3.0,F
2012,295,2300,292.45,77.0,1012.0,3.0,F
2012,296,0,292.0325,81.0,1012.0,3.0,F
2012,296,100,291.615,85.0,1012.0,4.0,F
2012,296,200,291.1975,89.0,1012.0,4.0,F
2012,296,300,290.78,93.0,1012.0,4.0,F
2012,296,400,290.47,93.0,1013.0,2.0,F
2012,296,500,290.6,88.0,1013.0,2.0,F
2012,296,600,290.61,82.0,1013.0,3.0,F
