year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,204,900.0,"MIGDIO 2","",Lightning,1.0,B,34.8725,-119.1875
2006,204,1100.0,MESA,"",Lightning,0.75,B,34.79027778,-119.24138889
2006,204,1400.0,WOOD,"",Lightning,0.5,B,34.79027778,-119.14888889
2006,207,1200.0,MARIAN,"",Lightning,0.1,A,34.87361111,-119.1875
2006,206,1600.0,ADOBE,"",Miscellaneous,4.0,B,34.75944444,-119.0975
2006,188,1800.0,DUMPSTER,"",Miscellaneous,0.1,A,34.24166667,-117.87
2006,188,400.0,GLENDORA,"",Arson,0.25,A,34.16,-117.845
2006,232,1000.0,DEVIL,"",Campfire,0.1,A,34.31,-117.98305556
2006,183,2100.0,CALVA,"",Arson,0.1,A,34.62333333,-118.28833333
2006,223,1200.0,CALTRANS,"","Equipment Use",0.1,A,34.66638889,-118.76305556
2006,226,1700.0,JOHNSON,"",Arson,112.0,D,34.65833333,-118.34305556
2006,227,1300.0,SPRINGS,"",Miscellaneous,8.0,B,34.46333333,-118.50722222
2006,229,1800.0,HERMOSA,"","Equipment Use",0.1,A,34.61694444,-118.41055556
2006,223,1500.0,PADUA,"",Children,15.0,C,34.15,-117.69805556
2006,238,2300.0,FORK,"",Arson,0.1,A,34.23805556,-117.85166667
2006,15,1200.0,WILDOMAR,"",Campfire,0.1,A,33.56805556,-117.34194444
2006,43,2200.0,ORTEGA,"",Miscellaneous,0.25,A,33.59,-117.50388889
2006,149,1300.0,"SITE 10","",Campfire,0.01,A,33.6525,-117.45194444
2006,149,1300.0,"SITE 25","",Campfire,0.01,A,33.6525,-117.45194444
2006,149,1400.0,"SITE 26","",Campfire,0.1,A,33.6525,-117.45194444
2006,152,1300.0,"SITE 39","",Campfire,0.1,A,33.65138889,-117.45527778
2006,141,1600.0,"SITE 18","",Campfire,0.1,A,33.6525,-117.45305556
2006,185,1500.0,GLENIVY,"",Miscellaneous,0.1,A,33.76638889,-117.48916667
2006,187,1400.0,WEIRICK,"",Miscellaneous,14.0,C,33.79972222,-117.51111111
2006,203,1800.0,COW,"",Lightning,0.1,A,33.70777778,-117.47361111
2006,205,200.0,ROCK,"","Equipment Use",0.25,A,33.59972222,-117.48638889
2006,210,100.0,NECTAR,"",Campfire,0.1,A,33.83388889,-117.62527778
2006,241,100.0,PURPLE,"",Miscellaneous,0.1,A,34.31138889,-118.37555556
2006,241,1500.0,PAXTON,"",Miscellaneous,0.5,B,34.28777778,-118.40888889
2006,204,1500.0,COW,"",Lightning,0.1,A,34.27444444,-117.65805556
2006,243,900.0,HANSEN,"",Miscellaneous,0.1,A,34.26944444,-118.39277778
2006,42,900.0,MATHEWS,"","Equipment Use",0.1,A,34.23222222,-117.425
2006,184,1400.0,PYRAMID,"",Arson,2.0,B,34.7025,-118.81388889
2006,200,1500.0,SMOKE,"",Miscellaneous,0.1,A,34.74361111,-118.79444444
2006,201,1600.0,SANTIAGO,"",Lightning,2.0,B,34.4475,-118.02861111
2006,203,1300.0,PEAK,"",Lightning,1.0,B,34.64027778,-118.41444444
