,year,doy,hourmin,temperature,humidity,wind,pressure
401,2012,292,500,294.25,73.0,0.0,1007.0
402,2012,292,600,293.52,73.0,0.0,1007.0
403,2012,292,700,293.07,77.0,0.0,1007.0
404,2012,292,800,292.75,82.0,0.0,1007.0
405,2012,292,900,291.87,82.0,0.0,1007.0
406,2012,292,1000,291.25,88.0,0.0,1007.0
407,2012,292,1100,290.5,88.0,0.0,1007.0
408,2012,292,1200,290.59,72.0,0.0,1007.0
409,2012,292,1300,290.52,,1.0,
410,2012,292,1400,290.55,72.0,0.0,1008.0
411,2012,292,1500,291.55,63.0,0.0,1008.0
412,2012,292,1600,295.47,41.0,0.0,1008.0
413,2012,292,1700,299.45,28.0,0.0,1008.0
414,2012,292,1800,303.3,17.0,0.0,1008.0
415,2012,292,1900,305.07,13.0,0.0,1008.0
416,2012,292,2000,305.45,12.0,0.0,1007.0
417,2012,292,2100,306.0,11.0,0.0,1007.0
418,2012,292,2200,304.98,24.0,1.0,1007.0
419,2012,292,2300,304.65,21.0,0.0,1007.0
420,2012,293,0,303.09,24.0,0.0,1007.0
421,2012,293,100,302.44,25.0,0.0,1007.0
422,2012,293,200,299.8,34.0,0.0,1008.0
423,2012,293,300,298.79,34.0,0.0,1008.0
424,2012,293,400,297.85,44.0,0.0,1009.0
425,2012,293,500,296.77,44.0,0.0,1009.0
426,2012,293,600,295.98,44.0,0.0,1010.0
427,2012,293,700,295.22,49.0,0.0,1010.0
428,2012,293,800,294.9,53.0,0.0,1011.0
429,2012,293,900,294.3,53.0,0.0,1011.0
430,2012,293,1000,294.32,46.0,0.0,1012.0
431,2012,293,1100,294.89,40.0,1.0,1013.0
432,2012,293,1200,294.44,64.0,2.0,1014.0
433,2012,293,1300,294.72,69.0,1.0,1015.0
434,2012,293,1400,294.9,73.0,1.0,1016.0
435,2012,293,1500,294.88,73.0,2.0,1017.0
436,2012,293,1600,295.41,73.0,0.0,1018.0
437,2012,293,1700,295.76,64.0,1.0,1018.0
438,2012,293,1800,296.62,73.0,0.0,1018.0
439,2012,293,1900,297.44,61.0,1.0,1018.0
440,2012,293,2000,297.88,54.0,2.0,1018.0
441,2012,293,2100,298.37,47.0,0.0,1017.0
442,2012,293,2200,298.49,47.0,0.0,1016.0
443,2012,293,2300,298.53,50.0,0.0,1016.0
444,2012,294,0,297.78,50.0,0.0,1016.0
