,year,doy,hourmin,temperature,humidity,wind,pressure
38,2012,277,200,300.52,25.0,8.0,1012.0
39,2012,277,300,298.56,31.0,5.0,1012.0
40,2012,277,400,297.94,27.0,4.0,1013.0
41,2012,277,500,296.95,31.0,2.0,1013.0
42,2012,277,600,294.14,28.0,2.0,1012.0
43,2012,277,700,293.46,89.0,1.0,1009.0
44,2012,277,800,293.32,89.0,4.0,1009.0
45,2012,277,900,292.39,68.0,0.0,1012.0
46,2012,277,1000,291.96,48.0,0.0,1012.0
47,2012,277,1100,291.52,83.0,0.0,1009.0
48,2012,277,1200,291.135,62.0,0.0,1010.0
49,2012,277,1300,290.75,42.0,0.0,1011.0
50,2012,277,1400,290.26,48.0,0.0,1011.0
51,2012,277,1500,292.67,53.0,0.0,1011.0
52,2012,277,1600,295.08,58.0,0.0,1011.0
53,2012,277,1700,297.49,64.0,0.0,1012.0
54,2012,277,1800,299.48,60.0,2.0,1012.0
55,2012,277,1900,301.24,56.0,2.0,1011.0
56,2012,277,2000,302.04,50.0,3.0,1011.0
57,2012,277,2100,303.25,41.0,2.0,1010.0
58,2012,277,2200,302.875,28.0,3.0,1009.0
59,2012,277,2300,302.5,16.0,5.0,1009.0
60,2012,278,0,302.81,17.0,7.0,1008.0
61,2012,278,100,301.91,21.0,7.0,1008.0
62,2012,278,200,299.96,24.0,7.0,1008.0
63,2012,278,300,297.82,25.0,5.0,1008.0
64,2012,278,400,296.56,31.0,2.0,1008.0
65,2012,278,500,296.01,94.0,0.0,1011.0
66,2012,278,600,294.68,88.0,0.0,1010.0
67,2012,278,700,293.92,100.0,0.0,1017.0
68,2012,278,800,293.67,55.0,2.0,1009.0
69,2012,278,900,293.41,94.0,3.0,1009.0
70,2012,278,1000,291.81,67.0,4.0,1010.0
71,2012,278,1100,291.16,67.0,3.0,1010.0
72,2012,278,1200,290.4,72.0,5.0,1010.0
73,2012,278,1300,289.99,72.0,5.0,1010.0
74,2012,278,1400,290.19,72.0,4.0,1011.0
75,2012,278,1500,291.28,72.0,2.0,1011.0
76,2012,278,1600,294.26,68.0,0.0,1012.0
77,2012,278,1700,296.75,68.0,0.0,1012.0
78,2012,278,1800,297.74,64.0,0.0,1012.0
79,2012,278,1900,298.64,64.0,0.0,1012.0
80,2012,278,2000,299.51,57.0,2.0,1012.0
81,2012,278,2100,298.97,64.0,3.0,1012.0
82,2012,278,2200,298.47,47.0,3.0,1012.0
83,2012,278,2300,296.57,41.0,3.0,1012.0
84,2012,279,0,294.64,47.0,3.0,1012.0
85,2012,279,100,293.22,53.0,2.0,1012.0
86,2012,279,200,291.24,68.0,3.0,1013.0
87,2012,279,300,290.38,68.0,3.0,1014.0
88,2012,279,400,289.76,72.0,1.0,1014.0
89,2012,279,500,289.43,72.0,2.0,1015.0
90,2012,279,600,289.25,72.0,3.0,1016.0
91,2012,279,700,288.91,80.0,2.0,1012.0
92,2012,279,800,288.57,88.0,1.0,1008.0
93,2012,279,900,288.42,88.0,2.0,1008.0
94,2012,279,1000,288.27,88.0,2.0,1009.0
95,2012,279,1100,288.24,72.0,0.0,1017.0
96,2012,279,1200,288.22,77.0,0.0,1017.0
97,2012,279,1300,288.6,77.0,3.0,1017.0
98,2012,279,1400,289.02,72.0,3.0,1018.0
99,2012,279,1500,288.61,72.0,3.0,1018.0
100,2012,279,1600,289.41,72.0,4.0,1019.0
101,2012,279,1700,290.09,60.0,2.0,1026.0
102,2012,279,1800,292.13,74.0,2.0,1009.0
103,2012,279,1900,293.26,50.0,2.0,1024.0
104,2012,279,2000,294.02,74.0,4.0,1009.0
105,2012,279,2100,294.3,47.0,0.0,1023.0
106,2012,279,2200,293.81,79.0,3.0,1008.0
107,2012,279,2300,293.45,50.0,1.0,1023.0
108,2012,280,0,291.75,63.0,7.0,1019.0
109,2012,280,100,290.32,67.0,6.0,1019.0
110,2012,280,200,289.55,100.0,0.0,1023.0
111,2012,280,300,288.53,72.0,5.0,1020.0
112,2012,280,400,288.23,77.0,6.0,1020.0
113,2012,280,500,287.96,72.0,3.0,1021.0
114,2012,280,600,287.93,77.0,4.0,1021.0
115,2012,280,700,287.85,94.0,0.0,1010.0
116,2012,280,800,287.83,91.0,0.0,1010.0
