,year,doy,hourmin,San Francisco,Los Angeles,San Diego
340,2012,289,1600,286.97,293.42,292.95
341,2012,289,1700,288.28,297.24,296.64
342,2012,289,1800,288.84,297.91,296.91
343,2012,289,1900,290.8,300.54,299.72
344,2012,289,2000,292.31,301.8,301.58
345,2012,289,2100,293.66,301.27,300.27
346,2012,289,2200,295.35,300.98,300.76
347,2012,289,2300,296.08,300.57,300.06
348,2012,290,0,295.11,299.43,299.56
349,2012,290,100,294.19,298.56,298.19
350,2012,290,200,292.25,297.47,296.51
351,2012,290,300,290.74,296.27,295.35
352,2012,290,400,289.37,295.89,294.45
353,2012,290,500,288.96,294.98,293.39
354,2012,290,600,288.35,293.6,293.05
355,2012,290,700,287.92,292.89,292.97
356,2012,290,800,287.53,292.45,292.38
357,2012,290,900,287.16,291.91,292.02
358,2012,290,1000,287.02,291.74,291.53
359,2012,290,1100,286.94,291.45,291.52
360,2012,290,1200,286.55,290.91,290.57
361,2012,290,1300,286.34,290.55,290.05
362,2012,290,1400,285.99,291.27,290.1
363,2012,290,1500,286.35,292.5,293.6
364,2012,290,1600,288.12,296.59,296.69
365,2012,290,1700,289.09,299.76,298.63
366,2012,290,1800,290.27,299.75,300.04
367,2012,290,1900,293.19,301.47,300.98
368,2012,290,2000,294.95,302.21,300.4
369,2012,290,2100,295.94,301.87,301.18
370,2012,290,2200,296.84,301.67,301.39
371,2012,290,2300,297.4,301.5,300.89
372,2012,291,0,296.72,299.93,299.22
373,2012,291,100,295.59,298.51,295.86
374,2012,291,200,293.23,297.18,293.95
375,2012,291,300,292.35,295.88,293.18
376,2012,291,400,291.43,295.51,292.38
377,2012,291,500,291.2,294.29,291.68
378,2012,291,600,290.8,293.49,291.73
379,2012,291,700,290.76,292.42,291.08
380,2012,291,800,290.58,291.62,290.58
381,2012,291,900,290.54,291.02,289.93
382,2012,291,1000,290.04,290.79,289.81
383,2012,291,1100,289.9,290.57,289.34
384,2012,291,1200,289.49,290.05,288.75
385,2012,291,1300,289.55,289.62,288.75
386,2012,291,1400,289.55,289.58,288.65
387,2012,291,1500,289.86,290.55,290.72
388,2012,291,1600,291.2,292.87,293.15
389,2012,291,1700,291.79,293.68,293.95
390,2012,291,1800,293.42,296.74,296.16
391,2012,291,1900,295.37,299.67,297.39
392,2012,291,2000,297.63,301.95,300.29
393,2012,291,2100,297.93,301.47,300.57
394,2012,291,2200,297.94,300.71,301.32
395,2012,291,2300,297.63,300.51,301.44
396,2012,292,0,296.81,298.9,299.42
397,2012,292,100,295.48,298.94,297.92
398,2012,292,200,293.02,296.51,295.9
399,2012,292,300,291.51,295.56,294.52
400,2012,292,400,290.94,295.08,293.67
401,2012,292,500,290.22,294.25,292.64
402,2012,292,600,289.36,293.52,291.79
403,2012,292,700,289.09,293.07,291.03
404,2012,292,800,288.49,292.75,291.12
405,2012,292,900,288.12,291.87,290.86
406,2012,292,1000,287.48,291.25,290.69
407,2012,292,1100,286.75,290.5,289.65
408,2012,292,1200,286.41,290.59,290.01
409,2012,292,1300,286.11,290.52,290.19
410,2012,292,1400,286.26,290.55,290.73
411,2012,292,1500,286.55,291.55,294.03
412,2012,292,1600,290.44,295.47,296.46
413,2012,292,1700,292.98,299.45,301.72
414,2012,292,1800,295.05,303.3,303.79
415,2012,292,1900,296.93,305.07,306.2
416,2012,292,2000,299.55,305.45,305.66
417,2012,292,2100,300.37,306.0,305.45
418,2012,292,2200,301.5,304.98,305.04
419,2012,292,2300,301.62,304.65,304.94
420,2012,293,0,301.32,303.09,304.66
421,2012,293,100,298.73,302.44,302.12
422,2012,293,200,295.62,299.8,300.62
423,2012,293,300,293.75,298.79,298.61
424,2012,293,400,292.38,297.85,298.12
425,2012,293,500,291.39,296.77,297.97
426,2012,293,600,289.82,295.98,297.75
427,2012,293,700,288.78,295.22,298.33
428,2012,293,800,288.05,294.9,295.25
429,2012,293,900,287.59,294.3,295.06
430,2012,293,1000,288.5,294.32,294.46
431,2012,293,1100,287.45,294.89,293.91
432,2012,293,1200,288.17,294.44,293.68
433,2012,293,1300,288.03,294.72,293.54
434,2012,293,1400,288.6,294.9,293.72
435,2012,293,1500,289.74,294.88,294.15
436,2012,293,1600,292.98,295.41,295.29
437,2012,293,1700,295.65,295.76,295.83
438,2012,293,1800,297.27,296.62,296.12
439,2012,293,1900,299.28,297.44,296.68
440,2012,293,2000,299.58,297.88,296.58
441,2012,293,2100,299.88,298.37,296.29
442,2012,293,2200,301.55,298.49,296.15
443,2012,293,2300,302.26,298.53,295.89
444,2012,294,0,300.95,297.78,295.08
445,2012,294,100,298.22,296.38,294.71
446,2012,294,200,295.4,295.18,294.26
447,2012,294,300,294.21,294.89,293.79
448,2012,294,400,293.43,293.68,293.39
449,2012,294,500,292.78,293.27,292.56
450,2012,294,600,292.18,292.75,291.81
451,2012,294,700,291.77,292.15,291.26
452,2012,294,800,291.14,291.9,290.96
453,2012,294,900,290.77,291.81,290.63
454,2012,294,1000,290.24,291.43,290.76
455,2012,294,1100,290.14,290.97,289.84
456,2012,294,1200,290.18,290.64,289.47
457,2012,294,1300,290.24,290.46,289.18
458,2012,294,1400,290.27,290.44,289.04
459,2012,294,1500,290.08,291.17,291.3
460,2012,294,1600,290.73,293.53,293.1
461,2012,294,1700,290.9,294.84,294.66
462,2012,294,1800,291.37,295.93,296.08
463,2012,294,1900,292.31,296.77,296.54
464,2012,294,2000,292.7,297.03,296.4
465,2012,294,2100,293.45,297.14,296.47
466,2012,294,2200,293.62,296.48,295.82
467,2012,294,2300,293.1,296.03,295.1
468,2012,295,0,292.65,294.79,294.28
469,2012,295,100,290.71,293.36,293.23
470,2012,295,200,289.2,292.32,292.72
471,2012,295,300,288.25,292.27,292.64
472,2012,295,400,287.72,292.15,292.55
473,2012,295,500,287.14,291.88,292.55
474,2012,295,600,287.07625,291.8275,292.43125
475,2012,295,700,287.0125,291.775,292.3125
476,2012,295,800,286.94875,291.7225,292.19375
477,2012,295,900,286.885,291.67,292.075
478,2012,295,1000,286.82125,291.6175,291.95625
479,2012,295,1100,286.7575,291.565,291.8375
480,2012,295,1200,286.69375,291.5125,291.71875
481,2012,295,1300,286.63,291.46,291.6
482,2012,295,1400,287.331111111,291.77666666700003,291.751111111
483,2012,295,1500,288.03222222200003,292.093333333,291.90222222200003
484,2012,295,1600,288.733333333,292.41,292.053333333
485,2012,295,1700,289.434444444,292.726666667,292.204444444
486,2012,295,1800,290.135555556,293.04333333299996,292.355555556
487,2012,295,1900,290.83666666700003,293.36,292.506666667
488,2012,295,2000,291.537777778,293.676666667,292.65777777799997
489,2012,295,2100,292.238888889,293.993333333,292.808888889
490,2012,295,2200,292.94,294.31,292.96
491,2012,295,2300,292.27,293.8,292.45
492,2012,296,0,290.8075,293.3475,292.0325
493,2012,296,100,289.345,292.895,291.615
494,2012,296,200,287.8825,292.4425,291.1975
495,2012,296,300,286.42,291.99,290.78
496,2012,296,400,286.07,291.97,290.47
497,2012,296,500,285.67,292.0,290.6
498,2012,296,600,285.56,291.84,290.61
499,2012,296,700,285.29,291.69,290.57
500,2012,296,800,284.72,291.53,290.47
501,2012,296,900,284.2,291.47,290.5
502,2012,296,1000,284.15,291.38,290.3
503,2012,296,1100,284.04,291.32,290.32
504,2012,296,1200,283.805,290.57,290.315
505,2012,296,1300,283.57,289.82,290.31
506,2012,296,1400,283.335,290.416666667,290.305
507,2012,296,1500,283.1,291.013333333,290.3
508,2012,296,1600,286.02,291.61,290.47
509,2012,296,1700,286.95,292.32,290.75
510,2012,296,1800,288.57,293.34,291.48
511,2012,296,1900,289.83,294.33,292.08
512,2012,296,2000,290.72,294.77,293.16
513,2012,296,2100,290.57,295.42,292.9
514,2012,296,2200,290.28,295.12,292.92
515,2012,296,2300,290.46,294.52,292.81
516,2012,297,0,289.57,293.84,292.48
517,2012,297,100,287.8,292.57,291.78
518,2012,297,200,286.19,291.79,291.37
519,2012,297,300,285.87,291.31,291.22
520,2012,297,400,285.6,290.9,290.95
521,2012,297,500,286.19,290.52,290.87
522,2012,297,600,286.09,290.74,290.52
523,2012,297,700,285.83,290.65,290.35
524,2012,297,800,285.53,290.57,290.37
525,2012,297,900,284.97,290.42,290.23
526,2012,297,1000,284.69,290.33,289.9
527,2012,297,1100,284.66,290.13,289.9
528,2012,297,1200,285.04,290.13,289.49
529,2012,297,1300,285.49,290.08,289.54
530,2012,297,1400,285.71,290.18,289.35
531,2012,297,1500,285.89,290.3,289.82
532,2012,297,1600,285.62,291.12,290.43
533,2012,297,1700,285.97,291.89,291.57
534,2012,297,1800,286.53,292.14,291.85
535,2012,297,1900,287.8,293.28,292.48
536,2012,297,2000,288.83,293.87,292.96
537,2012,297,2100,289.34,293.56,293.14
538,2012,297,2200,288.97,293.77,292.87
539,2012,297,2300,288.94,293.3,292.53
540,2012,298,0,288.74,292.45,291.59
541,2012,298,100,287.8,291.27,290.57
542,2012,298,200,287.04,291.13,290.42
543,2012,298,300,286.07,290.67,290.46
544,2012,298,400,285.75,290.48,290.15
545,2012,298,500,285.56,290.23,289.48
546,2012,298,600,285.46,290.04,288.59
547,2012,298,700,285.35,290.19,287.82
548,2012,298,800,284.48,290.05,287.43
549,2012,298,900,283.83,289.53,287.27
550,2012,298,1000,283.71,289.05,287.19
551,2012,298,1100,283.38,288.65,287.36
552,2012,298,1200,283.13,288.46,287.24
553,2012,298,1300,283.29,288.4,287.02
554,2012,298,1400,283.9,288.25,287.49
555,2012,298,1500,283.49,288.43,288.09
556,2012,298,1600,284.27,289.61,290.1
557,2012,298,1700,286.22,290.63,291.23
558,2012,298,1800,287.28,291.74,291.89
559,2012,298,1900,287.97,292.53,292.89
560,2012,298,2000,288.7,293.34,293.29
561,2012,298,2100,288.99,293.65,293.15
562,2012,298,2200,289.22,293.8,292.63
563,2012,298,2300,289.54,293.76,292.17
564,2012,299,0,288.48,292.67,291.45
565,2012,299,100,287.34,291.71,290.52
566,2012,299,200,286.19,290.94,289.96
567,2012,299,300,285.29,290.12,289.33
568,2012,299,400,285.22,289.93,288.47
569,2012,299,500,285.11,289.26,287.74
570,2012,299,600,284.54,288.84,287.78
571,2012,299,700,284.21,288.18,287.26
572,2012,299,800,284.43,288.1,286.78
573,2012,299,900,284.83,287.81,286.68
574,2012,299,1000,284.73,287.24,286.92
575,2012,299,1100,284.58,286.76,286.54
576,2012,299,1200,283.88,286.44,286.26
577,2012,299,1300,283.7,286.53,285.73
578,2012,299,1400,283.705,286.815,286.355
579,2012,299,1500,283.71,287.1,286.98
580,2012,299,1600,285.22,289.53,288.92
581,2012,299,1700,286.86,291.24,291.06
582,2012,299,1800,287.76,291.88,291.82
583,2012,299,1900,289.15,293.85,292.96
584,2012,299,2000,289.9,294.4,293.45
585,2012,299,2100,290.31,294.11,293.65
586,2012,299,2200,290.44,294.82,293.56
587,2012,299,2300,290.56,294.73,293.18
588,2012,300,0,289.23,294.46,292.46
589,2012,300,100,287.9,293.27,291.38
590,2012,300,200,287.3,292.81,290.73
591,2012,300,300,287.23,292.19,289.93
592,2012,300,400,287.31,291.69,289.04
593,2012,300,500,286.95,291.17,287.93
594,2012,300,600,286.86,290.46,287.4
595,2012,300,700,286.59,289.83,286.55
596,2012,300,800,285.79,289.47,286.16
597,2012,300,900,285.59,289.23,285.47
598,2012,300,1000,285.56,288.05,285.2
599,2012,300,1100,285.54,287.87,285.03
600,2012,300,1200,285.28,287.65,284.73
601,2012,300,1300,285.36,284.94,284.77
602,2012,300,1400,285.32,286.5,284.42
603,2012,300,1500,285.06,289.08,286.33
604,2012,300,1600,285.41,291.04,289.17
605,2012,300,1700,285.89,293.62,292.39
606,2012,300,1800,286.58,296.02,294.27
607,2012,300,1900,287.74,296.56,294.69
608,2012,300,2000,289.28,297.17,295.05
609,2012,300,2100,290.5,297.97,295.05
610,2012,300,2200,291.2,298.09,295.44
611,2012,300,2300,291.9,298.08,295.15
612,2012,301,0,290.84,297.15,294.78
613,2012,301,100,289.69,295.8,293.18
614,2012,301,200,288.32,295.61,291.97
615,2012,301,300,287.39,294.93,291.28
616,2012,301,400,286.57,293.95,290.23
617,2012,301,500,285.42,292.74,289.07
618,2012,301,600,284.54,292.5,288.34
619,2012,301,700,284.08,292.09,287.83
620,2012,301,800,283.76,290.62,287.11
621,2012,301,900,283.3,289.94,286.3
622,2012,301,1000,283.05,289.21,286.68
623,2012,301,1100,282.69,288.86,286.72
624,2012,301,1200,282.61,288.7,287.22
625,2012,301,1300,282.34,288.67,287.21
626,2012,301,1400,282.65,288.22,287.69
627,2012,301,1500,284.77,288.96,291.04
628,2012,301,1600,286.89,292.96,294.39
629,2012,301,1700,288.66,296.23,298.24
630,2012,301,1800,289.91,298.71,300.01
