,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
3713,2014,91,900,280.74,87.0,1013.0,2.0,F
1308,2013,168,1500,287.1,95.0,1018.0,1.0,T
2216,2015,281,800,289.51,77.0,1019.0,2.0,T
1061,2012,317,100,284.82,58.0,1021.0,6.0,T
532,2014,104,1900,290.97,77.0,1020.0,2.0,T
4476,2017,282,400,293.24,27.0,1009.0,2.0,F
1478,2015,325,500,284.28,86.0,1020.0,1.0,T
3890,2015,337,2200,286.63,93.0,1015.0,4.0,F
3195,2017,246,0,313.24,12.0,1007.0,1.0,F
4454,2015,4,1400,278.65,100.0,1041.0,2.0,F
120,2013,129,0,294.49,52.0,1016.0,3.0,T
5949,2017,24,200,282.78,66.0,1008.0,4.0,F
2178,2014,288,800,288.83,94.0,1024.0,4.0,T
2075,2015,291,100,293.07,77.0,1015.0,7.0,T
5185,2015,309,1300,279.86,82.0,1023.0,1.0,F
4459,2016,201,400,294.34,60.0,1020.0,2.0,F
3218,2014,271,2100,292.64,79.0,1025.0,1.0,F
3496,2017,249,2100,298.07,62.0,1015.0,5.0,F
5751,2012,327,1000,287.87,87.0,1018.0,1.0,F
5708,2017,239,900,291.37,87.0,1014.0,1.0,F
4195,2015,320,0,288.45,34.0,1026.0,1.0,F
5364,2016,343,1200,280.49,74.0,1026.0,4.0,F
4152,2016,286,2000,289.91,77.0,1023.0,2.0,F
3833,2016,166,2300,294.76,47.0,1013.0,2.0,F
639,2014,211,0,294.89,64.0,1028.0,1.0,T
4879,2016,257,1500,286.2,67.0,1012.0,2.0,F
2214,2013,305,0,287.29,83.0,1033.0,1.0,T
2814,2014,141,1400,287.23,89.0,1013.0,1.0,T
4221,2017,208,2300,301.99,35.0,1013.0,3.0,F
2637,2015,352,0,285.86,64.0,1013.0,1.0,T
4519,2014,61,1900,287.79,93.0,1016.0,4.0,F
108,2015,194,400,291.99,72.0,1017.0,5.0,T
4759,2016,92,800,284.01,88.0,1006.0,3.0,F
1599,2014,312,800,286.33,91.0,1032.0,1.0,T
2940,2015,159,1600,289.74,79.0,1025.0,1.0,T
3844,2016,341,1300,278.54,93.0,1003.0,4.0,F
1031,2013,174,2000,296.05,76.0,1017.0,2.0,T
5100,2016,255,1500,287.8,82.0,1019.0,3.0,F
88,2014,189,1000,288.5,79.0,1009.0,1.0,T
1826,2014,161,2100,294.39,51.0,1006.0,3.0,T
2695,2015,120,2200,295.27,49.0,1023.0,1.0,T
4851,2017,219,2300,296.0,71.0,1015.0,4.0,F
1997,2013,107,2000,291.18,31.0,1019.0,7.0,T
2159,2014,346,1500,284.44,100.0,1021.0,1.0,T
2548,2013,138,1800,289.75,77.0,1018.0,5.0,T
1377,2013,74,1000,283.47,99.0,1024.0,1.0,T
3389,2016,102,0,287.96,76.0,1013.0,4.0,F
2998,2016,305,500,287.55,99.0,1022.0,3.0,F
4941,2016,203,2200,298.86,94.0,1010.0,3.0,F
1684,2015,186,1400,289.91,82.0,1014.0,2.0,T
990,2013,128,700,288.76,82.0,1016.0,1.0,T
4856,2017,209,1500,287.87,100.0,1014.0,1.0,F
3391,2017,151,600,287.07,82.0,1020.0,6.0,F
3874,2016,216,2200,301.64,77.0,1013.0,2.0,F
3318,2017,216,1700,295.0,68.0,1014.0,1.0,F
1220,2013,66,300,284.26,60.0,1012.0,7.0,T
326,2013,339,700,274.69,58.0,1019.0,0.0,T
2786,2013,72,700,282.8,93.0,1029.0,3.0,T
3123,2016,158,1700,291.97,72.0,1011.0,4.0,F
1848,2015,18,0,286.24,92.0,1037.0,1.0,T
2829,2013,130,2300,290.77,76.0,1022.0,5.0,T
5642,2016,244,1200,288.06,82.0,1013.0,8.0,F
4517,2017,70,2000,293.07,79.0,1008.0,7.0,F
3994,2017,300,300,296.1,55.0,1013.0,0.0,F
4610,2017,202,100,297.58,36.0,1015.0,4.0,F
5804,2017,268,1500,284.48,92.0,1013.0,1.0,F
1620,2014,251,300,289.41,87.0,1023.0,2.0,T
2800,2014,170,800,285.04,98.0,1021.0,1.0,T
875,2015,201,1800,302.27,70.0,1012.0,2.0,T
524,2015,35,1000,284.21,92.0,1031.0,0.0,T
5159,2016,14,2100,285.21,23.0,1016.0,4.0,F
5289,2016,5,1400,283.85,100.0,1003.0,3.0,F
305,2013,220,800,288.06,91.0,1016.0,2.0,T
3627,2017,250,400,294.08,72.0,1014.0,1.0,F
367,2014,2,1400,280.14,69.0,1021.0,1.0,T
4323,2014,308,700,283.73,100.0,1038.0,1.0,F
1743,2014,129,1800,289.61,86.0,1021.0,3.0,T
4035,2016,26,200,287.38,50.0,1018.0,6.0,F
1460,2014,115,400,287.29,77.0,1016.0,2.0,T
5225,2016,357,2100,287.73,66.0,1016.0,1.0,F
1551,2015,251,1800,302.34,44.0,1013.0,2.0,T
1273,2015,101,2200,290.1,64.0,1031.0,4.0,T
4031,2015,315,800,279.4,87.0,1018.0,1.0,F
4847,2016,161,200,292.25,81.0,1011.0,1.0,F
1203,2014,190,500,288.79,85.0,1011.0,1.0,T
5673,2016,77,800,283.59,93.0,1016.0,2.0,F
3095,2016,46,100,294.5,87.0,1024.0,7.0,F
1515,2012,305,1400,284.55,87.0,1018.0,1.0,T
3094,2013,28,1800,282.53,57.0,1022.0,2.0,F
1058,2013,86,600,282.54,87.0,1017.0,4.0,T
3975,2016,164,400,294.99,76.0,1010.0,0.0,F
1682,2014,101,2300,292.0,78.0,1006.0,4.0,T
4128,2016,153,600,291.24,88.0,1009.0,2.0,F
1911,2013,107,2300,291.9,41.0,1019.0,10.0,T
4023,2013,301,800,285.24,89.0,1018.0,8.0,F
5019,2017,251,500,292.08,96.0,1013.0,2.0,F
3198,2014,301,2300,292.36,65.0,1031.0,1.0,F
3278,2016,300,1900,290.85,78.0,1022.0,1.0,F
1204,2014,260,500,290.09,88.0,1022.0,1.0,T
4216,2016,104,1100,283.36,81.0,1023.0,4.0,F
5504,2017,6,2300,282.23,100.0,1018.0,1.0,F
4055,2016,239,1800,292.66,60.0,1014.0,2.0,F
3047,2016,353,100,282.22,90.0,1025.0,2.0,F
