,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2546,2016,142,900,287.77,55.0,1016.0,3.0,F
2010,2014,176,200,294.95,91.0,1023.0,1.0,F
5874,2016,232,800,293.71,81.0,1014.0,0.0,F
4376,2014,24,1000,285.62,54.0,1019.0,0.0,F
2416,2014,114,1500,288.65,72.0,1016.0,2.0,F
3069,2014,334,0,289.04,50.0,1024.0,1.0,F
1695,2014,35,1500,281.94,71.0,1018.0,4.0,F
3383,2016,213,1500,294.61,83.0,1014.0,1.0,F
3986,2016,184,2200,297.31,64.0,1017.0,5.0,F
5804,2016,255,1000,292.01,88.0,1018.0,2.0,F
2088,2015,137,300,286.17,88.0,1029.0,1.0,F
3618,2015,63,1700,283.55,68.0,1031.0,1.0,F
3173,2016,293,600,282.26,96.0,980.0,1.0,F
743,2016,89,2000,288.83,47.0,1017.0,5.0,F
1479,2015,154,2100,293.72,69.0,1025.0,2.0,F
40,2015,261,1100,290.53,88.0,1011.0,1.0,T
2903,2015,218,2300,299.02,69.0,1012.0,3.0,F
4675,2016,23,1800,288.57,77.0,1019.0,3.0,F
5500,2016,308,1800,295.16,37.0,1019.0,1.0,F
5192,2017,242,1400,293.75,88.0,1008.0,1.0,F
4600,2017,329,1800,293.39,100.0,1017.0,3.0,F
2297,2012,316,600,285.89,58.0,1016.0,4.0,F
4458,2015,63,300,281.27,84.0,1026.0,1.0,F
396,2014,161,1700,294.34,78.0,1022.0,1.0,F
594,2016,63,1900,292.65,68.0,1019.0,3.0,F
4280,2017,145,300,289.85,72.0,1012.0,3.0,F
3720,2017,79,2100,291.33,55.0,1019.0,3.0,F
561,2012,279,900,291.21,85.0,1018.0,0.0,F
4685,2013,42,700,281.28,62.0,1020.0,0.0,F
1052,2015,12,0,287.93,77.0,1030.0,1.0,F
3711,2014,281,900,288.62,77.0,1025.0,1.0,F
1351,2014,161,1000,290.1,90.0,1010.0,1.0,F
981,2017,289,300,296.53,64.0,1018.0,1.0,F
1410,2015,71,1400,280.41,79.0,1030.0,1.0,F
922,2017,78,1200,286.03,87.0,1018.0,2.0,F
4680,2017,146,700,290.07,55.0,1015.0,1.0,F
5160,2017,32,900,281.88,93.0,1020.0,1.0,F
5279,2015,144,300,285.61,85.0,1030.0,1.0,F
4563,2015,363,200,281.7,87.0,1017.0,1.0,F
5365,2016,260,200,292.46,68.0,1015.0,4.0,F
4453,2015,304,1500,289.14,49.0,1017.0,2.0,F
2436,2016,239,1800,293.81,53.0,1016.0,4.0,F
5021,2017,12,400,287.31,82.0,1017.0,1.0,F
1113,2016,341,1700,288.81,67.0,1017.0,3.0,F
5024,2016,337,1800,289.79,42.0,1016.0,2.0,F
358,2013,153,2200,296.05,68.0,1010.0,3.0,F
2971,2015,318,200,292.22,23.0,1015.0,0.0,F
5912,2015,224,0,297.28,57.0,1012.0,6.0,F
4965,2016,115,0,293.51,49.0,1016.0,5.0,F
4394,2016,48,2300,294.29,87.0,1011.0,3.0,F
866,2017,290,1400,290.55,36.0,1015.0,1.0,F
3470,2013,301,2300,286.6,93.0,1023.0,3.0,F
4874,2016,31,400,287.38,83.0,1019.0,2.0,F
105,2013,312,1900,297.39,13.0,1016.0,0.0,T
4494,2013,364,100,291.42,54.0,1027.0,1.0,F
