,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
488,2017,74,500,290.37,94.0,1011.0,6.0,F
5719,2017,132,1600,287.55,58.0,1022.0,5.0,F
1890,2016,40,500,286.97,54.0,1022.0,2.0,F
2688,2014,203,1500,290.17,72.0,1019.0,2.0,F
5612,2013,155,100,293.62,73.0,1013.0,0.0,F
3689,2016,141,2000,290.25,58.0,1012.0,11.0,F
1616,2015,222,100,298.54,72.0,1013.0,8.0,F
1247,2014,318,1500,286.52,98.0,1032.0,2.0,F
138,2015,240,700,293.86,63.0,1015.0,4.0,T
2328,2014,234,900,288.41,95.0,1027.0,1.0,F
1835,2012,284,1400,284.76,82.0,1017.0,0.0,F
3253,2017,14,800,279.31,100.0,1032.0,1.0,F
2466,2014,101,1800,288.58,82.0,1014.0,5.0,F
5287,2014,57,1500,285.43,82.0,1013.0,7.0,F
712,2017,28,300,283.73,59.0,1019.0,2.0,F
4367,2015,175,1500,286.65,92.0,1019.0,1.0,F
3976,2016,350,1700,289.06,69.0,1018.0,4.0,F
4133,2014,29,1700,287.32,93.0,1022.0,2.0,F
5489,2015,111,2000,287.19,83.0,1023.0,4.0,F
2164,2013,63,1500,284.4,78.0,1019.0,2.0,F
3728,2016,23,2200,286.89,87.0,1019.0,5.0,F
2910,2016,192,2200,299.99,74.0,1008.0,4.0,F
5852,2014,75,1800,291.67,77.0,1026.0,2.0,F
2294,2014,351,1600,285.83,100.0,1030.0,4.0,F
1729,2014,162,600,288.09,98.0,1008.0,0.0,F
1530,2015,112,500,284.8,95.0,1023.0,3.0,F
1649,2014,240,400,291.56,81.0,1029.0,1.0,F
1652,2013,78,2000,289.13,87.0,1008.0,4.0,F
5910,2014,113,2000,290.41,48.0,1021.0,8.0,F
1756,2015,79,2200,289.13,74.0,1032.0,1.0,F
2983,2017,160,1200,288.41,93.0,1015.0,1.0,F
1171,2015,77,100,289.6,73.0,1031.0,4.0,F
1907,2016,108,300,292.37,42.0,1017.0,7.0,F
811,2016,217,800,286.05,86.0,1011.0,1.0,F
3838,2017,231,1400,288.58,93.0,1013.0,2.0,F
4190,2013,231,800,289.4,91.0,1013.0,1.0,F
5322,2015,291,2100,294.23,64.0,1016.0,8.0,F
762,2014,29,200,289.19,87.0,1023.0,3.0,F
4621,2013,53,400,282.08,76.0,1017.0,10.0,F
2007,2017,144,1800,288.69,67.0,1011.0,2.0,F
1019,2014,294,2300,291.45,72.0,1030.0,3.0,F
99,2015,178,200,296.34,78.0,1008.0,2.0,T
4769,2017,108,1500,286.76,93.0,1019.0,2.0,F
5326,2016,14,1200,277.91,86.0,1019.0,1.0,F
430,2015,332,1500,279.76,65.0,1025.0,1.0,F
1199,2012,358,2100,286.32,62.0,1015.0,6.0,F
1282,2014,292,400,289.2,86.0,1025.0,1.0,F
1485,2014,14,100,290.05,52.0,1028.0,1.0,F
1773,2017,110,300,289.06,63.0,1023.0,4.0,F
5014,2016,344,500,287.07,100.0,1022.0,2.0,F
502,2013,233,1400,288.74,99.0,1012.0,0.0,F
3247,2016,51,500,284.02,100.0,1023.0,3.0,F
1456,2014,341,300,287.44,96.0,1036.0,1.0,F
4326,2013,287,600,285.66,65.0,1017.0,2.0,F
4096,2013,296,1000,282.97,87.0,1013.0,1.0,F
2908,2016,162,600,287.32,83.0,1011.0,0.0,F
282,2013,247,2300,299.79,55.0,1013.0,4.0,F
1922,2015,287,2200,301.75,57.0,1014.0,6.0,F
4430,2015,153,1300,286.08,97.0,1031.0,1.0,F
3402,2016,298,2100,290.28,75.0,1019.0,7.0,F
652,2016,129,100,289.37,82.0,1014.0,5.0,F
3896,2013,97,1300,285.05,82.0,1022.0,0.0,F
4622,2017,292,400,285.45,100.0,1016.0,2.0,F
2859,2016,187,900,286.55,87.0,1016.0,2.0,F
4320,2013,333,1100,281.38,74.0,1018.0,1.0,F
350,2015,347,1800,285.38,87.0,1014.0,11.0,F
3947,2013,20,2300,287.11,42.0,1021.0,0.0,F
4085,2016,85,700,284.66,71.0,1012.0,4.0,F
1137,2013,243,300,294.86,72.0,1014.0,3.0,F
3337,2016,47,100,296.54,68.0,1018.0,4.0,F
5320,2017,188,1700,296.55,70.0,1011.0,3.0,F
5563,2014,14,500,284.86,79.0,1028.0,0.0,F
5470,2014,132,1900,297.73,31.0,1019.0,1.0,F
5594,2013,357,1900,285.73,55.0,1027.0,1.0,F
2555,2012,340,0,286.69,67.0,1021.0,1.0,F
4596,2015,102,1000,283.06,97.0,1030.0,2.0,F
214,2014,122,1600,286.46,89.0,1031.0,1.0,T
2427,2016,20,1900,284.74,93.0,1025.0,2.0,F
4406,2017,66,700,281.13,51.0,1022.0,5.0,F
4607,2015,102,1400,282.65,98.0,1030.0,1.0,F
2867,2015,102,800,284.37,94.0,1030.0,3.0,F
3048,2013,300,100,290.08,53.0,1021.0,2.0,F
460,2016,140,1500,286.98,66.0,1013.0,7.0,F
1339,2013,47,1100,281.85,75.0,1023.0,0.0,F
1442,2013,12,2300,284.73,62.0,1022.0,8.0,F
2519,2017,86,0,289.54,51.0,1018.0,2.0,F
3537,2015,126,1500,285.62,83.0,1024.0,2.0,F
3635,2015,282,800,290.14,77.0,1018.0,3.0,F
1787,2014,273,500,288.36,94.0,1028.0,1.0,F
1292,2016,89,2300,290.42,18.0,1020.0,2.0,F
5285,2017,207,1500,289.01,72.0,1017.0,3.0,F
5311,2014,109,700,283.59,71.0,1015.0,4.0,F
3257,2015,34,1000,284.25,94.0,1032.0,1.0,F
4039,2013,223,0,294.72,72.0,1012.0,4.0,F
1871,2015,303,2300,296.43,40.0,1023.0,1.0,F
2329,2017,69,1900,289.85,82.0,1023.0,2.0,F
27,2013,120,2200,302.47,74.0,1007.0,2.0,T
3532,2017,144,300,292.86,94.0,1009.0,2.0,F
3816,2016,209,1700,297.84,70.0,1008.0,4.0,F
3980,2013,103,1600,284.6,76.0,1014.0,3.0,F
279,2017,198,700,294.99,88.0,1009.0,2.0,F
2221,2015,81,2200,288.29,83.0,1034.0,4.0,F
2252,2014,272,500,289.02,94.0,1027.0,2.0,F
975,2015,136,2200,288.57,76.0,1029.0,3.0,F
5221,2015,78,2100,290.04,77.0,1030.0,1.0,F
3988,2013,100,2200,296.52,42.0,1018.0,9.0,F
1680,2013,114,1100,287.39,71.0,1012.0,0.0,F
1912,2017,18,900,281.55,76.0,1021.0,2.0,F
4269,2014,251,2200,292.24,79.0,1025.0,2.0,F
4957,2017,250,1700,293.01,84.0,1015.0,3.0,F
2389,2017,105,1400,281.76,81.0,1020.0,0.0,F
4989,2017,60,700,280.97,82.0,1015.0,7.0,F
38,2014,265,1300,288.28,100.0,1029.0,1.0,T
4636,2017,235,1100,288.33,100.0,1015.0,1.0,F
4446,2013,302,1900,286.92,87.0,1029.0,2.0,F
2574,2017,19,900,284.31,81.0,1010.0,4.0,F
368,2013,338,700,279.08,52.0,1014.0,0.0,F
740,2016,364,900,280.57,82.0,1015.0,5.0,F
4479,2016,156,400,297.18,56.0,1013.0,7.0,F
3801,2017,171,1300,289.72,94.0,1019.0,1.0,F
5544,2014,43,2000,286.99,93.0,1025.0,2.0,F
5245,2017,31,1200,278.84,93.0,1021.0,1.0,F
3754,2017,151,300,288.86,77.0,1020.0,5.0,F
4853,2015,78,900,283.49,99.0,1030.0,1.0,F
1083,2017,237,1400,287.16,87.0,1011.0,1.0,F
2212,2014,122,900,284.65,91.0,1031.0,1.0,F
4434,2013,40,1700,280.37,81.0,1016.0,5.0,F
4342,2017,49,1700,283.92,99.0,1007.0,6.0,F
2723,2013,77,2000,290.07,58.0,1020.0,1.0,F
5465,2016,211,1600,291.22,55.0,1028.0,4.0,F
1569,2016,158,1700,291.97,72.0,1011.0,4.0,F
5094,2016,216,900,287.55,82.0,1015.0,3.0,F
790,2016,214,1700,291.61,63.0,1015.0,0.0,F
939,2016,326,0,288.71,82.0,1013.0,3.0,F
1916,2016,287,1700,288.66,88.0,1023.0,1.0,F
905,2016,328,0,287.69,67.0,1021.0,2.0,F
34,2014,147,1000,285.17,76.0,1017.0,5.0,T
1567,2016,214,100,297.36,79.0,1009.0,3.0,F
3878,2013,61,1500,282.02,93.0,1029.0,1.0,F
4416,2013,54,800,279.32,70.0,1022.0,1.0,F
923,2016,235,1900,294.66,72.0,1015.0,5.0,F
4094,2013,327,2300,284.98,37.0,1015.0,1.0,F
2977,2016,204,1400,286.71,87.0,1019.0,4.0,F
1742,2014,214,2000,293.6,80.0,1026.0,1.0,F
5170,2016,270,900,292.65,31.0,1012.0,0.0,F
